id,created_at,author_id,text,clean_text
1975080800430506021,2025-10-06 06:08:52+00:00,1502496454245425154,@ARSIPAJA Bodo amat...emang siapa suruh ngotot bangun IKN...,bodo amat...emang suruh ngotot bangun ikn...
1975080767891161420,2025-10-06 06:08:44+00:00,1854729492939653121,"Komisi III DPRD Balikpapan Dorong Standar Infrastruktur Setara IKN
https://t.co/4NZ4mLIzQb",komisi iii dprd balikpapan dorong standar infrastruktur setara ikn
1975080421122568571,2025-10-06 06:07:22+00:00,118371948,"Tindak Penambangan Ilegal, Otorita Komitmen Jaga Kawasan IKN https://t.co/wy6LGYs2O9 https://t.co/sCaZbtTLeV","tindak penambangan ilegal, otorita komitmen jaga kawasan ikn"
1975079629217271995,2025-10-06 06:04:13+00:00,887743587579944960,"Otorita 'Ngamuk', Bentuk Satgasus Sikat Tambang Batu Bara Ilegal hingga Rumah Liar di IKN  https://t.co/Z9v6E6yJeE","otorita ngamuk , bentuk satgasus sikat tambang batu bara ilegal rumah liar ikn"
1975079160554078289,2025-10-06 06:02:21+00:00,624211261,"@mediaindonesia berita berkenan ""Indonesia"" ? 

sepertinya/di duga
""Indonesia"" peroleh komitmen besar 
berupa oil reservoir konsesi di IKN, LCS 
seharusnya pada happy, senang, berpesta 

semoga tidak terkendala,
TERMINAL tidak terbuka tanpa ada tiket

begitu ?","berita berkenan indonesia ? duga indonesia peroleh komitmen oil reservoir konsesi ikn, lcs happy, senang, berpesta semoga terkendala, terminal terbuka tiket ?"
1975078704574566662,2025-10-06 06:00:33+00:00,96136106,@ARSIPAJA ikn fawzi,ikn fawzi
1975078428341833825,2025-10-06 05:59:27+00:00,408605996,Tidak lelah-lelah mengingatkan agar batalkan IKN dan pemindahan Ibu Kota Negara. @prabowo @DPR_RI.,lelah lelah batalkan ikn pemindahan kota negara.
1975077633294836072,2025-10-06 05:56:17+00:00,1798999878665973760,"Pemerintah Kabupaten Penajam Paser Utara (PPU), Kalimantan Timur, memberikan pendampingan kepada Satuan Pelayanan Pemenuhan Gizi (SPPG) dalam pengelolaan limbah dapur MBG.

Baca disini: https://t.co/pMbk6yfchk https://t.co/nzZZshX6sg","pemerintah kabupaten penajam paser utara ppu , kalimantan timur, pendampingan satuan pelayanan pemenuhan gizi sppg pengelolaan limbah dapur mbg. baca"
1975077217190453551,2025-10-06 05:54:38+00:00,1604106928140886017,"@ARSIPAJA @jokowi lo vampir penghisap darah rakyat indo, lo mati bakal seperti kamal attatruk , yakinnw mati lo pake beton IKN","lo vampir penghisap darah rakyat indo, lo mati kamal attatruk , yakinnw mati lo pake beton ikn"
1975076786448076885,2025-10-06 05:52:55+00:00,2283189500,"@AirinDatangLagi udah tau dari dulu, ikn gak layak jadi kota, air tanahnya gak ada, bawah tanahnya lapisan batubara gak ada air","udah tau dulu, ikn gak layak kota, air tanahnya gak ada, tanahnya lapisan batubara gak air"
