id,created_at,author_id,text
1988478492078666167,2025-11-12 05:26:31+00:00,2911375412,"Tahap berikutnya, migrasi ASN dari 16 kementerian/lembaga ke IKN dimulai tahun 2026.
Sekitar 2.400–2.600 ASN akan pindah bertahap hingga 2028, sesuai Perpres No. 79 Tahun 2025.
“Pemerintah harus pastikan semua fasilitas dasar sudah siap,” kata Rifqi.
#ASN #IKN"
1988478487053930717,2025-11-12 05:26:30+00:00,2911375412,"Selama dua tahun anggaran terakhir, Komisi II DPR RI fokus pada penggunaan APBN untuk pembinaan infrastruktur, kawasan pemerintahan, dan hunian ASN.
Rifqi menilai progres di lapangan “sangat baik”, termasuk kesiapan regulasi dan tata kelola IKN.
#IKN2025 #Rifqinizamy"
1988478482930954422,2025-11-12 05:26:29+00:00,2911375412,"“DPR akan terus memastikan anggaran negara digunakan tepat sasaran untuk menyelesaikan tahap pertama IKN,” ujarnya.

#AnggaranIKN"
1988478481030901804,2025-11-12 05:26:28+00:00,2911375412,"Ketua Komisi II DPR RI, Muhammad Rifqinizamy Karsayuda, menegaskan komitmen DPR dalam mengawal percepatan pembangunan Ibu Kota Nusantara (IKN).

#IKN #DPRRI 

https://t.co/tAUC1V4fRR"
1988478306367553715,2025-11-12 05:25:47+00:00,1336902722105163776,"dan denda Rp100 miliar. Polri menegaskan, penambangan ilegal di kawasan IKN tidak akan dibiarkan, sumber daya alam adalah aset negara yang harus dijaga. Terus Berkomitmen Tuntas Berantas Kriminal #SigapTuntaskanKasus Kejahatan"
1988477724672102576,2025-11-12 05:23:28+00:00,700471787788734465,"@kompascom Bpk yg satu ini tidak merasa sudah salah jalan tapi ngeyel

Membangun Indonesia dgn pendirian ber-bagai industri dan berbagai pertanian yg produktif hasilnya dinikmati masyarakat luas sekaligus meningkatkan income masyarakat

IKN itu meningkatkan apa? Malah menghabiskan duit"
1988477088207434121,2025-11-12 05:20:56+00:00,1139877357055909888,Unpopular opinion but dari pada ngabisin dana buat proyek gajelas kek whoosh &amp; IKN mending perbagus indo dulu jadi gini😃 https://t.co/D1Ix4xMcDU
1988476835953516731,2025-11-12 05:19:56+00:00,1954354960323497984,"@en_vapid @O5Bravo Yg balik ke daerah skrg dikepras utk mainan2 rezim baru, termasuk IKN. Dapet benefit enggak, hak daerah malah berkurang."
1988476514841882659,2025-11-12 05:18:39+00:00,1741782466942439424,"@GNFI Bangun terus infrastruktur jakarta bandung, semua dibuat supaya cepat ke 2 wilayah ini. Padahal akses cepat kedua wilayah ini sudah banyak. IKN jadi makin sia sia. Daerah-daerah yg tertinggal masih sangat banyak."
1988474099841286576,2025-11-12 05:09:04+00:00,1856515216445673472,@P66Senopati @BANGSAygSUJUD @jokowi @prabowo @99propaganda @are_inismyname @Ndons_Back @florieliciouss @kiwalipitu @Kimberley_PS08 @IrawanRommi @FDonghun @SBaigin @wrahardian2 Kamu kecewa Indonesia makin mendunia dg IKN?
1988473818382561300,2025-11-12 05:07:57+00:00,198417114,"@P66Senopati @BANGSAygSUJUD @jokowi @prabowo @99propaganda @are_inismyname @Ndons_Back @florieliciouss @kiwalipitu @Kimberley_PS08 @IrawanRommi @FDonghun @SBaigin @wrahardian2 Kenapa harus sinis dg IKN? 

IKN bukan milik Jokowi tapi milik Indonesia 

IKN mimpi bung Karno juga rakyat negeri ini agar punya ibu kota negara yg sangat mendunia keindahan dan kemegahannya juga konsep kembali ke alam"
1988473358170956006,2025-11-12 05:06:07+00:00,1909069879136956417,"Bull case struktural: KRAS jadi pilar substitusi impor + penopang proyek nasional (IKN, maritim, alutsista). Perpustakaan. Bear case siklikal: siklus oversupply global dan harga seabrek dari China nyeret margin."
1988471100020584711,2025-11-12 04:57:08+00:00,1852156608941588480,"@BANGSAygSUJUD @jokowi @prabowo @99propaganda @are_inismyname @Ndons_Back @florieliciouss @kiwalipitu @Kimberley_PS08 @IrawanRommi @FDonghun @SBaigin @wrahardian2 Hhee .. hhee .. fragming trooss, udah tau bakalan mangkrakk ikn .. kerja tolol jukuweik 👺🧠💩💩🤮🤮"
1988470061645131907,2025-11-12 04:53:01+00:00,384421199,"Transparansi International pernah menyebut jumlah uang hasil korupsi Soeharto kalo dirupiahkan mencapai 35 miliar dolar AS atau dengan kurs skrg setara Rp 585 triliun

Kalo seperlimanya aja disita negara, langsung lunas itu utang Whoosh

Yang 400 T bahkan bs buat nyelesain IKN https://t.co/s1PBi4hn22"
1988469298848051432,2025-11-12 04:49:59+00:00,947181899633516545,"menggunakan izin perusahaan resmi. Tersangka dijerat UU Minerba dengan ancaman lima tahun penjara dan denda Rp100 miliar. Polri menegaskan, penambangan ilegal di kawasan IKN tidak akan dibiarkan, sumber daya alam adalah aset negara yang harus dijaga."
1988469000783986777,2025-11-12 04:48:48+00:00,2650421658,"RDMP Balikpapan juga memperindah wajah kota dan menambah nilai strategis Balikpapan sebagai kota industri sekaligus pintu gerbang IKN. Wali Kota berharap proyek RDMP Balikpapan–Lawe Lawe dapat memberikan manfaat besar bagi masyarakat Kaltim dan Indonesia.
https://t.co/roalRxtqiU"
1988468683098993065,2025-11-12 04:47:32+00:00,1572390221177851904,"@kayseraphine Pasti karena Whoosh, IKN, Esemka, food estate dan proyek ghaib lainnya beliau disukai masyarakat"
1988468147255660568,2025-11-12 04:45:24+00:00,398631452,"@icaruscomplexx Mau gimana lagi, Raja Jawa aja ngotot bangun IKN dengan alasan istana negara bau kolonial. 😭"
1988468067291328962,2025-11-12 04:45:05+00:00,1748945779820306432,"@jokowi Izin bertanya, yang jadi investor IKN siapa aja. Kan sudah ada hitungannya kalkulasinya trus dulu bilangnya ratusan dari nganu dan nganu"
1988465547349291334,2025-11-12 04:35:05+00:00,1369663239718465538,"Dari Bambakoro sampai Kalukku, Yusuf menjumpai warga yang terdampak dan menolak tambang tapi malah dikriminalisasi.

https://t.co/P0IaUAcYXG"
1988465331271332271,2025-11-12 04:34:13+00:00,1432242767544008704,"@susipudjiastuti IKN, Whoos, bandara2 mangkrak"
1988464893813813630,2025-11-12 04:32:29+00:00,1846351428677521409,"@Kimberley_PS08 IKN proyek jng panjang diatur dg UU artinya KEPUTUSAN NEGARA  siapapun PRESIDENNYA wajib meneruskan misalnya Pak JOKOWI selesaikan 15 %, PAK PRABOWO 25 % sisanya REZIM berikutnya, REFERENSI MEDIA INDEPENDEN TERPERCAYA https://t.co/SK5oP527Co"
1988463661430829533,2025-11-12 04:27:35+00:00,1321136825377853440,"lagi belajar sambil nonton mv letdown, jujur kaget banget kalo di IKN 😭 gila gg banget recall-recall di base musuh"
1988463115621781694,2025-11-12 04:25:25+00:00,940427628,"@MDustino @Arnold16394126 @yaniarsim Tinggal buktikan saja,,, oya, sekalian sama 6000 pesenan mobil esemka dan ratusan investor luar negeri untuk proyek IKN 😄"
1988459498567332274,2025-11-12 04:11:02+00:00,2468923218,"@BANGSAygSUJUD @jokowi @prabowo @99propaganda @are_inismyname @Ndons_Back @florieliciouss @kiwalipitu @Kimberley_PS08 @IrawanRommi @FDonghun @SBaigin @wrahardian2 Kok yang tayangkan kawan2 sebelah IKN yang mangkrak ya, yang ini bagus sekali jauh dari kata mangkrak 😂"
1988458773174989287,2025-11-12 04:08:09+00:00,1741650995313295360,@preman69691 @Sammi86Reborn @samiagain86 @Lea_Dhai @amtknp @DianeElQueen @Baldo04555156 @Ruth_111_ @dodisegrovee @BukeLeadee @PrabawantaSri @feroferraferri Brgkt kmn nich ke IKN atau ???
1988457961140998523,2025-11-12 04:04:56+00:00,1337643428729954304,"Dah bener dulu ada iptn, kedirgantaraan, buat pesawat yg ukuran pas dulu untuk mencakup daerah2 dan kepulauan, sehingga gak usah beli pesawat dari luar. Kebutuhan pesawat kecil itu banyak. Eh di hapus dari PSN, Lah sekarang malah IKN, ada patung pake sayap tapi gak bisa terbang."
1988457854366568675,2025-11-12 04:04:30+00:00,1027893367022084097,@susipudjiastuti Harusnya anggaran wooos dan IKN untuk seperti ini
1988457716088795345,2025-11-12 04:03:57+00:00,125916074,"@elisa_jkt makanya tinggal di IKN Ci, udah bebas pohon   🤭"
1988457645540536676,2025-11-12 04:03:41+00:00,1749698965539553280,"Mereka koar koar Jokowi telah banyak membangun:
Jalan tol
Bandara
IKN 
Whoosh 
Sementara yg miskin ekstrim masih banyak disudut sudut negri ini.
Mereka terabaikan 😪 https://t.co/uC2Fgs0AHf"
1988456637561270748,2025-11-12 03:59:40+00:00,1497292654945923073,@brandonsalim Ya mangkrak lah kek ikn
1988456039004729720,2025-11-12 03:57:18+00:00,2732248734,"Dukung IKN, Dukung Ekonomi Indonesia! IKN siap menjadi pusat ekonomi baru yang dinamis, dengan investasi swasta mencapai Rp6,49 triliun. Mari dukung pembangunan IKN untuk Indonesia yang lebih maju!
#IKN #IndonesiaSemakinMaju #KotaHijau https://t.co/WQMwCdYSaP"
1988451205182615560,2025-11-12 03:38:05+00:00,1573963098687676416,"@O5Bravo @hypergengsi Lu itu tolol apa gimana? Koar2 minta pembangunan merata seluruh wilayah indonesia tapi protes duitnya dari mana, giliran IKN yg pemborosan dan jelas2 penuh dg mark up dan korupsi lu ketrigger 🤣🤣🤣
Bilang aja lu ternaknya mulyono udah"
1988448604550557980,2025-11-12 03:27:45+00:00,1574633001383645185,@Luna_Needsleep FAKE PEMERINTAH HATER KAMU LEBIH PIKIRIN BAKAR IKAN DARIPADA BAKAR IKN
